Biblical Citation,Variants,Ar. 115,Ar. 106,Ar. 69,Ar. 84,Ar. 82,Ar. 89,Ar. 90,Ar. 91,Ar. 80,Ar. 76
3.2,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. mamlakat al-samawāt, 5. malkūt al-samawāt",2. mulk al-samawāt,1. mulk al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,6. Absent,3. malkūt al-samāʾ,5. mamlakat al-samawāt
4.17,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,5. Absent,3. malkūt al-samāʾ,2. mulk al-samawāt
5.3,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",2. mulk al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
5:10,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",2. mulk al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
5.12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",,3. malkūt al-samāʾ,3. malkūt al-samāʾ,,3. malkūt al-samāʾ,3. malkūt al-samāʾ,,,1. mulk al-samāʾ,
5:19a,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
5:19b,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",2. mulk al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
5:20,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
6:33,"1. mulk ʾallāh, 2. malkūt ʾallāh",2. malkūt ʾallāh,1. mulk ʾallāh,3. Omitted,1. mulk ʾallāh,1. mulk ʾallāh,1. mulk ʾallāh,1. mulk ʾallāh,1. mulk ʾallāh,1. mulk ʾallāh,2. malkūt ʾallāh
7:21,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,2. mulk al-samawāt,4. malkūt al-samawāt
8:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ
10:7,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
11:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,4. malkūt al-samawāt
11:12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,4. malkūt al-samawāt
12:28,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh
13:11,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt ʾallāh",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt ʾallāh,2. mulk al-samawāt
13:24,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:31,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ
13:33,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ
13:44,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:45,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:47,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
13:52,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
16:19,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
18:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
18:3,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. mulk al-samawāt
18:4,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,1. mulk al-samāʾ,2. mulk al-samawāt
18:23,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:12,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:14,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:23,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ",3. malkūt al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,1. mulk al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
19:24,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ, 5. mulk al-samawāt, 4. malkūt al-samawāt",2. malkūt ʾallāh,2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh,1. mulk ʾallāh
20:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
21:31,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh
21:43,"1. mulk ʾallāh, 2. malkūt ʾallāh, 3. malkūt al-samāʾ",2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,3. malkūt al-samāʾ,2. malkūt ʾallāh,3. malkūt al-samāʾ,2. malkūt ʾallāh,2. malkūt ʾallāh,2. malkūt ʾallāh
22:2,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
23:13,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt
25:1,"1. mulk al-samāʾ, 2. mulk al-samawāt, 3. malkūt al-samāʾ, 4. malkūt al-samawāt",3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,3. malkūt al-samāʾ,4. malkūt al-samawāt