Biblical Citation,Variants,Ar. 112,Ar. 147,Vat. Copt. 9,Ar. 628
KSW/KSY Alternation,,,,,
Matt. 25:36-40,"1. fa-kasaytumūnī, 2. fa-kasawtumūnī",2. fa-kasawtumūnī,2. fa-kasawtumūnī,2. fa-kasawtumūnī,2. fa-kasawtumūnī
Matt. 25:36-40,"1. fa-kasaynāk, 2. fa-kasawnāk, 3. ʾalbasnāk",2. fa-kasawnāk,2. fa-kasawnāk,2. fa-kasawnāk,2. fa-kasawnāk
Matt. 25:36-40,"1. fa-lam taksūnī, 2. fa-mā kasaytumūnī",1. fa-lam taksūnī,1. fa-lam taksūnī,1. fa-lam taksūnī,1. fa-lam taksūnī
Matt. 25:36-40,"1. lam negation, 2. mā except for KSW/Y, 3. lam bookends",1. lam negation,1. lam negation,1. lam negation,1. lam negation
Matt. 25:36-40,"Adjectives1. nunated, 2. not nunated",1. nunated,1. nunated,4. All nunated except ʿuryān and ʿaṭšān,3. All nunated except ʿuryān
,,,,,
Thousands & Raǧul,,,,,
Matthew 14: 21,"1. raǧul-N, 2. raǧul",1. raǧul-N,2. raǧul,1. raǧul-N,2. raǧul
Matthew 14: 21,"raǧul 1. singular, 2. plural",1. singular,1. singular,1. singular,1. singular
Matthew 14: 21,"1.ʾālāf, 2. ʾalf",2. ʾalf,2. ʾalf,2. ʾalf,2. ʾalf
Matthew 14: 21,"raǧul 1. before number, 2. after number",2. after number,2. after number,2. after number,2. after number
,,,,,
Matthew 15:38,"1. ʾālāf, 2. ʾalf",2. ʾalf,2. ʾalf,2. ʾalf,2. ʾalf
Matthew 15:38,"1. raǧul, 2. riǧāl",,1. raǧul,1. raǧul,1. raǧul
Matthew 15:38,"raǧul/riǧāl 1. nunated, 2. not nunated",,2. not nunated,1. nunated,1. nunated
Matthew 15:38,"raǧul 1. after the number, 2. before the number",,1. after the number,1. after the number,1. after the number
,,,,,
Matthew 16:9,"1. ḫams ḫubz(āt), 2. ḫamsat ḫubz(āt)",2. ḫamsat ḫubz(āt),1. ḫams ḫubz(āt),1. ḫams ḫubz(āt),1. ḫams ḫubz(āt)
Matthew 16:9,"1. five ḫubz, 2. five ḫubzāt",2. five ḫubzāt,2. five ḫubzāt,2. five ḫubzāt,2. five ḫubzāt
Matthew 16:9,"1. ḫams thousands, 2. ḫamsat thousands",,2. ḫamsat thousands,2. ḫamsat thousands,2. ḫamsat thousands
Matthew 16:9,"1. al-ḫams ḫubz(āt), 2. al-ḫams al-ḫubzāt, 3. ḫams al-ḫubzāt",1. al-ḫams ḫubz(āt),1. al-ḫams ḫubz(āt),1. al-ḫams ḫubz(āt),3. ḫams al-ḫubzāt
Matthew 16:9,"1. ḫams(at) thousands, 2. al-ḫams(ah) thousands",,1. ḫams(at) thousands,1. ḫams(at) thousands,1. ḫams(at) thousands
Matthew 16:9,"1. five ʾālāf, 2. five ʾalf",,2. five ʾalf,2. five ʾalf,1. five ʾālāf
Matthew 16:9,"1. sabʿ loaves, 2. sabʿat loaves",2. sabʿat loaves,1. sabʿ loaves,1. sabʿ loaves,1. sabʿ loaves
Matthew 16:9,"1. al-sabʿ al-ḫubzāt, 2. al-sabʿ ḫubzāt, 3. sabʿ al-ḫubzāt",2. al-sabʿ ḫubzāt,2. al-sabʿ ḫubzāt,2. al-sabʿ ḫubzāt,3. sabʿ al-ḫubzāt
Matthew 16:9,"1. (al-)sabʿ (al-)ḫubzāt, 2. (al-)sabʿ (al-)ḫubz",1. (al-)sabʿ (al-)ḫubzāt,1. (al-)sabʿ (al-)ḫubzāt,1. (al-)sabʿ (al-)ḫubzāt,1. (al-)sabʿ (al-)ḫubzāt
Matthew 16:9,"1. ʾarbaʿ(at) ʾālāf, 2. al-arbaʿah ʾālāf",2. al-arbaʿah ʾālāf,1. ʾarbaʿ(at) ʾālāf,1. ʾarbaʿ(at) ʾālāf,1. ʾarbaʿ(at) ʾālāf
Matthew 16:9,"1. ʾarbaʿ thousands, 2. ʾarbaʿat thousands",2. ʾarbaʿat thousands,2. ʾarbaʿat thousands,2. ʾarbaʿat thousands,2. ʾarbaʿat thousands
Matthew 16:9,"1. ʾarbaʿat ʾālāf, 2. ʾarbaʿat ʾalf",1. ʾarbaʿat ʾālāf,2. ʾarbaʿat ʾalf,2. ʾarbaʿat ʾalf,1. ʾarbaʿat ʾālāf
,,,,,
Grammar/Nunation Verses,,,,,
,,,,,
Matthew 19:6,"Initial Dual Verb (kān / ṣār / ʾāl) 1. Indicative, 2. non-Indicative, 3. Singular, 4. laysa",4. laysa,2. non-Indicative,1. Indicative,3. Singular
Matthew 19:6,"Predicate of Initial Verb 1. unmarked, 2. fully marked, 3. DT",2. fully marked,2. fully marked,2. fully marked,2. fully marked
Matthew 19:6,"Final Predicate 1. unmarked, 2. fully marked, 3.  Adjective Only",2. fully marked,2. fully marked,2. fully marked,2. fully marked
,,,,,
Matthew 17:17,"1. Indefinite ǧīl-N multawiy-N, 2. Definite",2. Definite,2. Definite,2. Definite,2. Definite
,,,,,
Matthew 19:17,"1. laysa ʾaḥad, 2. mā ʾaḥad, 3. laysa ṣāliḥ, 4. wa-lā ",2. laysa ṣāliḥ,4. wa-lā ṣāliḥ,2. laysa ṣāliḥ,2. laysa ṣāliḥ
Matthew 19:17,"1. ʾaḥad ṣāliḥ, 2. ʾaḥad-N ṣāliḥ, 3. ʾaḥad-un ṣāliḥ-AN, 4. ṣāliḥ, 5. ʾaḥad-u ṣāliḥ, 6. ṣāliḥ-N",4. ṣāliḥ,4. ṣāliḥ,6. ṣāliḥ-N,6. ṣāliḥ-N
,,,,,
Matthew 13:27,"Indefinite noun written 1. zawān-A(N), 2. zawān, 3. Definite",2. zawān(-un),2. zawān(-un),2. zawān(-un),2. zawān(-un)
,,,,,
Matthew 9:9,"naẓar ʾilā 1. Fully Marked, 2. DT, 3. Unmarked, 4. Accusative",4. Accusative,4. Accusative,4. Accusative,4. Accusative
,,,,,
Matthew 17:14,"ḥariya / iqtarab / danā ʾilay-h raǧul/ʾinsān 1. Nunated, 2. Not nunated",1. Nunated,1. Nunated,1. Nunated,2. Not nunated
,,,,,
Matthew 17:20,"1. šayʾ-N, 2. šayʾ",2. šayʾ,2. šayʾ,1. šayʾ-N,1. šayʾ-N
,,,,,
Matthew 3:9,"1. ʾab-A(N)/ʾab-an, 3. ʾabūnā, 4. ʾabānā",1. ʾab-A(N)/ʾab-an,4. ʾabānā,4. ʾabānā,4. ʾabānā
,,,,,
Matthew 8:6,"1. ṭarīh-A, 2. ṭarīḥ, 3. maṭrūḥ, 4. N/A ",4. N/A,4. N/A,4. N/A,4. N/A
Matthew 8:6,"1. muḫallaʿ-A(N), 2. muḫallaʿ",2. muḫallaʿ,2. muḫallaʿ,1. muḫallaʿ-A(N),1. muḫallaʿ-A(N)
,,,,,
Matthew 5:23,"1. ʾn ʾaḫāk, 2. ʾn ʾaḫūk, 3. li-ʾaḫīk, 4. fī nafas ʾaḫīk",2. ʾaḫūk,1. ʾaḫāk,1. ʾaḫāk,1. ʾaḫāk
Matthew 5:23,"Predicate (wāǧid / ḥāqid / ġaḍbān) 1. Nunated, 2. Not nunated",1. Nunated,1. Nunated,1. Nunated,1. Nunated
,,,,,
Matthew 2:18,ṣawt 1. marked or 2. unmarked,2. unmarked,1. marked,1. marked,1. marked
Matthew 3:3,ṣawt 1. marked or 2. unmarked,1. marked,2. unmarked,1. marked,1. marked
Matthew 3:17,ṣawt 1. marked or 2. unmarked,1. marked,2. unmarked,1. marked,1. marked
Matthew 17:5,ṣawt 1. marked or 2. unmarked,2. unmarked,2. unmarked,1. marked,1. marked
Matthew 25:6,ṣawt 1. marked or 2. unmarked,2. unmarked,2. unmarked,3. Definite,3. Definite
Matthew 27:46,ṣawt 1. marked or 2. unmarked,2. unmarked,2. unmarked,1. marked,1. marked
Matthew 27:50,ṣawt 1. marked or 2. unmarked,2. unmarked,2. unmarked,1. marked,1. marked
,,,,,
Glide Verses,,,,,
Matthew 5:29-30,"ʾaʿḍāʾi-ka spelled 1. ʾaʿḍāk, 2. ʾaʿḍāYk",2. ʾaʿḍāYk,2. ʾaʿḍāYk,2. ʾaʿḍāYk,2. ʾaʿḍāYk
Matthew 19:8,"nisāʾi-kum spelled 1. nisākm, 2. nisāYkm",3. Accusative,3. Accusative,3. Accusative,3. Accusative
Matthew 3:11,"ḥiḏāʾi-h spelled 1. ḥiḏāh, 2. ḥiḏāYh, 3. Accusative, 4. No Suffix",1. ḥiḏāh,3. Accusative,3. Accusative,3. Accusative
Matthew 25:6,"li-liqāʾi-h spelled 1. without glide, 2. with glide",2. with glide,2. with glide,2. with glide,2. with glide
,,,,,
Matthew 21: 42,"1. bannāʾūn, 2. bannāʾīn",1. bannāʾūn,1. bannāʾūn,1. bannāʾūn,1. bannāʾūn
Matthew 21: 42,"1. raʾs li-l-zāwyiah, 2. li-raʾs al-zāwiyah, 3. raʾs al-bunyān, 4. raʾs-N li-l-zāwiyah, 5. li-l-zāwiyah raʾs-A(N), 6. raʾs al-zāwiyah, 7. fī raʾs al-zāwiyah, 8. rukn al-banā ",4. raʾs-N li-l-zāwiyah,6. raʾs al-zāwiyah,6. raʾs al-zāwiyah,6. raʾs al-zāwiyah
,,,,,
Matthew 6: 9-13,"1. ʾabūnā, 2. ʾabānā, 3. yā ʾabānā, 4. N/A",2. ʾabānā,,2. ʾabānā,2. ʾabānā
Matthew 6: 9-13,"1. yataqaddas ism-ak, 2. yuqaddas ism-ak, 3. li-yataqaddas ism-ak, 4. taqaddas ism-ak",1. yataqaddas ism-ak,,1. yataqaddas ism-ak,5. qaddūs
Matthew 6: 9-13,"1. yaʾtī mulk-ak, 2. taʾtī malkūt-ak, 3. li-taʾti malkūt-ak, 4. li-yaʾti malkūt-ak, 5. yaʾti malkūt-ak, 6. ǧāʾat malkūt-ak, 7. N/A","2. taʾtī malkūt-ak,",,"2. taʾtī malkūt-ak,","2. taʾtī malkūt-ak,"
Matthew 6: 9-13,"1. yakūn ""wish"", 2. takūn ""wish"", 3. li-takun ""wish"", 4. li-takūn ""wish"", 5. fal-takun ","2. takūn ""wish""",,"2. takūn ""wish""","2. takūn ""wish"""
Matthew 6: 9-13,"1. ʾaʿṭīnā, 2. ʾaʿṭinā, 3. N/A, 4. irzaqnā",2. ʾaʿṭinā,,2. ʾaʿṭinā,2. ʾaʿṭinā